x = -1; y(1) = -2; y(2) = 3
x = -0.9; y(1) = -1.65419; y(2) = 3.03878
x = -0.8; y(1) = -1.30737; y(2) = 3.13584
x = -0.7; y(1) = -0.953493; y(2) = 3.21077
x = -0.6; y(1) = -0.594299; y(2) = 3.18624
x = -0.5; y(1) = -0.239306; y(2) = 3.08774
x = -0.4; y(1) = 0.104394; y(2) = 3.03322
x = -0.3; y(1) = 0.441432; y(2) = 3.07848
x = -0.2; y(1) = 0.78205; y(2) = 3.17789
x = -0.1; y(1) = 1.13202; y(2) = 3.22345
x = 0.0; y(1) = 1.48626; y(2) = 3.16428
x = 0.1; y(1) = 1.83455; y(2) = 3.06464
x = 0.2; y(1) = 2.17315; y(2) = 3.01154
x = 0.3; y(1) = 2.50705; y(2) = 3.0551
x = 0.4; y(1) = 2.84624; y(2) = 3.15342
x = 0.5; y(1) = 3.19643; y(2) = 3.17773
x = 0.6; y(1) = 3.55053; y(2) = 3.10752
x = 0.7; y(1) = 3.89947; y(2) = 3.00754
x = 0.8; y(1) = 4.24073; y(2) = 2.93339
x = 0.9; y(1) = 4.57728; y(2) = 2.93456
x = 1; y(1) = 4.91673; y(2) = 3.02623
