18 153
1 2 100000000
1 3 100000000
1 4 100000000
1 5 100000000
1 6 100000000
1 7 100000000
1 8 100000000
1 9 100000000
1 10 100000000
1 11 100000000
1 12 100000000
1 13 100000000
1 14 100000000
1 15 100000000
1 16 100000000
1 17 100000000
1 18 100000000
2 3 100000000
2 4 100000000
2 5 100000000
2 6 100000000
2 7 100000000
2 8 100000000
2 9 100000000
2 10 100000000
2 11 100000000
2 12 100000000
2 13 100000000
2 14 100000000
2 15 100000000
2 16 100000000
2 17 100000000
2 18 100000000
3 4 100000000
3 5 100000000
3 6 100000000
3 7 100000000
3 8 100000000
3 9 100000000
3 10 100000000
3 11 100000000
3 12 100000000
3 13 100000000
3 14 100000000
3 15 100000000
3 16 100000000
3 17 100000000
3 18 100000000
4 5 100000000
4 6 100000000
4 7 100000000
4 8 100000000
4 9 100000000
4 10 100000000
4 11 100000000
4 12 100000000
4 13 100000000
4 14 100000000
4 15 100000000
4 16 100000000
4 17 100000000
4 18 100000000
5 6 100000000
5 7 100000000
5 8 100000000
5 9 100000000
5 10 100000000
5 11 100000000
5 12 100000000
5 13 100000000
5 14 100000000
5 15 100000000
5 16 100000000
5 17 100000000
5 18 100000000
6 7 100000000
6 8 100000000
6 9 100000000
6 10 100000000
6 11 100000000
6 12 100000000
6 13 100000000
6 14 100000000
6 15 100000000
6 16 100000000
6 17 100000000
6 18 100000000
7 8 100000000
7 9 100000000
7 10 100000000
7 11 100000000
7 12 100000000
7 13 100000000
7 14 100000000
7 15 100000000
7 16 100000000
7 17 100000000
7 18 100000000
8 9 100000000
8 10 100000000
8 11 100000000
8 12 100000000
8 13 100000000
8 14 100000000
8 15 100000000
8 16 100000000
8 17 100000000
8 18 100000000
9 10 100000000
9 11 100000000
9 12 100000000
9 13 100000000
9 14 100000000
9 15 100000000
9 16 100000000
9 17 100000000
9 18 100000000
10 11 100000000
10 12 100000000
10 13 100000000
10 14 100000000
10 15 100000000
10 16 100000000
10 17 100000000
10 18 100000000
11 12 100000000
11 13 100000000
11 14 100000000
11 15 100000000
11 16 100000000
11 17 100000000
11 18 100000000
12 13 100000000
12 14 100000000
12 15 100000000
12 16 100000000
12 17 100000000
12 18 100000000
13 14 100000000
13 15 100000000
13 16 100000000
13 17 100000000
13 18 100000000
14 15 100000000
14 16 100000000
14 17 100000000
14 18 100000000
15 16 100000000
15 17 100000000
15 18 100000000
16 17 100000000
16 18 100000000
17 18 100000000
